KEY,NUCLIDE,METHOD,< VALUE_Bq/m³,VALUE_Bq/m³,ERROR%_m³,DATE_OF_ENTRY
"WSTUK1995011","CS137","STUK01",,121,3,
"WSTUK1995011","K40","STUK01",,2230,3,
"WSTUK1995011","SR90","STUK02",,16.5,10,
"WSTUK1995012","CS134","STUK01",,1.75,12,
"WSTUK1995012","CS137","STUK01",,51,3,
"WSTUK1995012","K40","STUK01",,1470,4,
"WSTUK1995013","CS134","STUK01",,2.61,16,
"WSTUK1995013","CS137","STUK01",,72,4,
"WSTUK1995013","K40","STUK01",,2070,4,
"WSTUK1995014","CS137","STUK01",,58,5,
"WSTUK1995014","K40","STUK01",,1760,4,
"WSTUK1995014","PU239240","STUK03",,0.003,43,
"WSTUK1995014","SR90","STUK02",,14.7,10,
"WSTUK1995015","CS134","STUK01",,2.97,12,
"WSTUK1995015","CS137","STUK01",,82,4,
"WSTUK1995015","K40","STUK01",,2440,4,
"WSTUK1995015","SR90","STUK02",,14.9,10,
"WSTUK1995016","CS134","STUK01",,2.62,15,
"WSTUK1995016","CS137","STUK01",,69,3,
"WSTUK1995016","K40","STUK01",,1860,3,
"WSTUK1995017","CS134","STUK01",,1.58,12,
"WSTUK1995017","CS137","STUK01",,59,3,
"WSTUK1995017","K40","STUK01",,1700,2,
"WSTUK1995017","SR90","STUK02",,14.3,10,
"WSTUK1995018","CS134","STUK01",,2.22,28,
"WSTUK1995018","CS137","STUK01",,75,5,
"WSTUK1995018","K40","STUK01",,2220,4,
"WSTUK1995019","CS134","STUK01",,3.6,14,
"WSTUK1995019","CS137","STUK01",,123,4,
"WSTUK1995019","K40","STUK01",,2650,4,
"WSTUK1995020","CS134","STUK01",,3.3,18,
"WSTUK1995020","CS137","STUK01",,71,4,
"WSTUK1995020","K40","STUK01",,2210,4,
"WSTUK1995021","CS134","STUK01",,2.55,10,
"WSTUK1995021","CS137","STUK01",,76,4,
"WSTUK1995021","K40","STUK01",,2310,4,
"WSTUK1995022","CS134","STUK01",,2.4,25,
"WSTUK1995022","CS137","STUK01",,96,4,
"WSTUK1995022","K40","STUK01",,2240,4,
"WSTUK1995022","SR90","STUK02",,13.6,10,
"WSTUK1995023","CS134","STUK01",,2.74,16,
"WSTUK1995023","CS137","STUK01",,96,3,
"WSTUK1995023","K40","STUK01",,3300,2,
"WSTUK1995023","PU239240","STUK03",,0.022,15,
"WSTUK1995023","SR90","STUK02",,13.2,10,
"WSTUK1995024","PU239240","STUK03",,0.0022,50,
"WSTUK1995025","CS134","STUK01",,3.5,10,
"WSTUK1995025","CS137","STUK01",,91,4,
"WSTUK1995025","K40","STUK01",,2530,4,
"WSTUK1995025","SR90","STUK02",,14.8,10,
"WSTUK1995026","CS134","STUK01",,2.66,15,
"WSTUK1995026","CS137","STUK01",,75,4,
"WSTUK1995026","K40","STUK01",,4300,4,
"WSTUK1995026","PU239240","STUK03",,0.0027,31,
"WSTUK1995026","SR90","STUK02",,13,10,
"WSTUK1995027","CS134","STUK01",,2.65,11,
